Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Age	Previous_Role	Role	Previous_Utterance	Utterance	Previous_Sent_len	Sent_len	Previous_Sent_type	Sent_type	Child	Polarity	Level
perception	possession	ours	not					26	Mother	Target_Child	that 's not ours that belongs Pat and Lois	no the tape	9	3	declarative	declarative	Bloom Peter	negative	discourse
perception	possession	have		would	would	you	you	26	Mother	Target_Child	would you rather have a hot dog	no let me have that	7	5	question	declarative	Bloom Peter	positive	discourse
perception	possession	have	n't	did	do	you	you	28	Mother	Target_Child	did you tell Patsy and Loi you did n't have a nap today	no did n't have a nap today	13	7	question	declarative	Bloom Peter	negative	discourse
perception	possession	mine						28	Mother	Target_Child	those are mine	no those are mine no mine	3	6	declarative	declarative	Bloom Peter	positive	discourse
perception	possession	have	n't	do	do	you	you	29	Mother	Target_Child	you do n't have a tape recorder in your room	no I had a record player	10	6	declarative	declarative	Bloom Peter	negative	discourse
perception	existence	's	no	there		trains	train	30	Mother	Target_Child	I wish we could go on a train there 's no trains that go to atlantic city	no we ca n't go on a train	17	8	declarative	declarative	Bloom Peter	negative	discourse
perception	possession	have		NONE	NONE	NONE	NONE	22	Target_Child	Mother	wheels having ride	no that wo n't fit on the back	3	8	declarative	declarative	Manchester Warren	positive	discourse
perception	possession	have		NONE	NONE	Mummy	mummy	24	Target_Child	Mother	Mummy have it	no thank you	3	3	declarative	declarative	Manchester Warren	positive	discourse
perception	possession	have	n't	ca	can	you	you	28	Mother	Target_Child	you ca n't have them now	no want it	6	3	declarative	declarative	Manchester Warren	negative	discourse
perception	possession	have		'll	will	it	it	29	Mother	Target_Child	at the moment I do n't think it 'll have a policeman in it	no have a police	14	4	declarative	declarative	Manchester Warren	positive	discourse
perception	possession	mine						25	Target_Child	Mother	mine	no no no they 're not yours	1	7	declarative	declarative	Manchester Aran	positive	discourse
